contact_id,phone_e164,phone_local,contact_type,agent_company,market_states,office_address,website,npc_profile_url,extraction_date,verification_note
NPC-0951,+2348033123216,08033123216,Phone + WhatsApp,Ezekiel Properties Management Co.,Abuja,"No.10 Zambezi Crescent, Maitama, Abuja,, Maitama, Abuja - Fct, Nigeria",,https://nigeriapropertycentre.com/agents/ezekiel-properties-management-co-131508,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0952,+2347057107571,07057107571,Phone,F. A. Esan Consulting,Abuja,"Plot 35, Block, 112, Adebisi Ogunniyi Crescent, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/f-a-esan-consulting-61678,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0953,+2348033448110,08033448110,Phone + WhatsApp,F. A. Esan Consulting,Abuja,"Plot 35, Block, 112, Adebisi Ogunniyi Crescent, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/f-a-esan-consulting-61678,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0954,+2348036781612,08036781612,Phone,F. A. Esan Consulting,Abuja,"Plot 35, Block, 112, Adebisi Ogunniyi Crescent, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/f-a-esan-consulting-61678,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0955,+2347066672143,07066672143,Phone,F.fayankinnu & Co,Abuja,"Suite 314b, Beta Foundation Plaza, Plot 359, Ebitu Ukiwe Street, Jabi, Fct-abuja, Nigeria",,https://nigeriapropertycentre.com/agents/ffayankinnu-co-43626,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0956,+2348068854919,08068854919,Phone + WhatsApp,F.fayankinnu & Co,Abuja,"Suite 314b, Beta Foundation Plaza, Plot 359, Ebitu Ukiwe Street, Jabi, Fct-abuja, Nigeria",,https://nigeriapropertycentre.com/agents/ffayankinnu-co-43626,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0957,+2348096567516,08096567516,Phone,F.fayankinnu & Co,Abuja,"Suite 314b, Beta Foundation Plaza, Plot 359, Ebitu Ukiwe Street, Jabi, Fct-abuja, Nigeria",,https://nigeriapropertycentre.com/agents/ffayankinnu-co-43626,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0958,+2349061959572,09061959572,Phone,Farnoor Global Enterprise,Abuja,,,https://nigeriapropertycentre.com/agents/farnoor-global-enterprise-121937,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0959,+2348031555638,08031555638,Phone + WhatsApp,Favour- Land Realty,Abuja,"Plot 779, Open Source Collaboration Center, Central Business District, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/favour-land-realty-13591,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0960,+2349050740230,09050740230,Phone + WhatsApp,Fcoshortlets,Abuja,"Wuse, Wuse, Abuja, Nigeria Blackberry PIN +2349067240882",,https://nigeriapropertycentre.com/agents/fcoshortlets-164488,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0961,+2349050740260,09050740260,Phone,Fcoshortlets,Abuja,"Wuse, Wuse, Abuja, Nigeria Blackberry PIN +2349067240882",,https://nigeriapropertycentre.com/agents/fcoshortlets-164488,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0962,+2349067240882,09067240882,Phone,Fcoshortlets,Abuja,"Wuse, Wuse, Abuja, Nigeria Blackberry PIN +2349067240882",,https://nigeriapropertycentre.com/agents/fcoshortlets-164488,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0963,+2348166891541,08166891541,Phone,Fem Homes Consultancy Ltd,Abuja,"Utako, Abuja, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/fem-homes-consultancy-ltd-65206,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0964,+2349068743702,09068743702,WhatsApp,Fem Homes Consultancy Ltd,Abuja,"Utako, Abuja, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/fem-homes-consultancy-ltd-65206,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0965,+2349112460522,09112460522,Phone,Fem Homes Consultancy Ltd,Abuja,"Utako, Abuja, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/fem-homes-consultancy-ltd-65206,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0966,+2347039124411,07039124411,Phone + WhatsApp,Fembee Properties And Investment Ltd,Abuja,"1 Pmagbe Layout Ushafa, Ushafa, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/fembee-properties-and-investment-ltd-154100,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0967,+2348088032499,08088032499,Phone,Fembee Properties And Investment Ltd,Abuja,"1 Pmagbe Layout Ushafa, Ushafa, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/fembee-properties-and-investment-ltd-154100,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0968,+2347037319657,07037319657,Phone,Fenoglobal,Abuja,"# 8c Buzi Close Amazon Street Maitama Abuja, Maitama Abuja, Federal Capital Abuja, Nigeria Blackberry PIN 900108",,https://nigeriapropertycentre.com/agents/fenoglobal-112767,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
