contact_id,phone_e164,phone_local,contact_type,agent_company,market_states,office_address,website,npc_profile_url,extraction_date,verification_note
NPC-0751,+2349028705893,09028705893,Phone,Bris Properties,Abuja,"Shop 69 Fati Abubakar Block, Wuye, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/bris-properties-171662,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0752,+2347080033884,07080033884,Phone,Brooke Addison Real Estate,Abuja,"Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/brooke-addison-real-estate-71124,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0753,+2348038512848,08038512848,Phone,Brooke Addison Real Estate,Abuja,"Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/brooke-addison-real-estate-71124,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0754,+2348158088032,08158088032,Phone + WhatsApp,Brooke Addison Real Estate,Abuja,"Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/brooke-addison-real-estate-71124,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0755,+2349152413970,09152413970,Phone,Brooke Addison Real Estate,Abuja,"Victoria Island, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/brooke-addison-real-estate-71124,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0756,+2348064811766,08064811766,Phone + WhatsApp,Bsp Real Estate,Abuja,"91 Ademola Adetokunbo Wuse 2, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/bsp-real-estate-171237,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0757,+2348121651536,08121651536,Phone,Bsp Real Estate,Abuja,"91 Ademola Adetokunbo Wuse 2, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/bsp-real-estate-171237,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0758,+2348183256586,08183256586,Phone,Bsp Real Estate,Abuja,"91 Ademola Adetokunbo Wuse 2, Abuja, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/bsp-real-estate-171237,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0759,+2348082126436,08082126436,WhatsApp,Builtor Agency,Abuja,"Bello Kirfi Crescent, Idu, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/builtor-agency-237287,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0760,+2349068419585,09068419585,Phone,Builtor Agency,Abuja,"Bello Kirfi Crescent, Idu, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/builtor-agency-237287,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
