contact_id,phone_e164,phone_local,contact_type,agent_company,market_states,office_address,website,npc_profile_url,extraction_date,verification_note
NPC-0001,+2348131578586,08131578586,Phone + WhatsApp,3a Integrated Services Venture,"Abuja, Delta, Edo, Enugu","Solomon Okonkwo Street, Egbeda, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/3a-integrated-services-venture-121909,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0002,+2347059446967,07059446967,Phone,Legit Properties,"Abia, Abuja, Akwa Ibom, Anambra, Cross River, Delta, Ebonyi, Edo, Enugu, Imo, Rivers","Km 42 Lekki Epe Expressway, Lekki Epe Expressway, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/legit-properties-149982,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0003,+2347016640999,07016640999,Phone + WhatsApp,1st Star Properties Nigeria,"Abuja, Anambra, Imo, Rivers","Suite A3 474 Eastline Shopping Complex, Abraham Adesanya Estate Roundabout Lekki Ajah Lagos, Ajah, Lagos, Nigeria Blackberry PIN 56960702",,https://nigeriapropertycentre.com/agents/1st-star-properties-nigeria-19329,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0004,+2347026283717,07026283717,Phone,1st Star Properties Nigeria,"Abuja, Anambra, Imo, Rivers","Suite A3 474 Eastline Shopping Complex, Abraham Adesanya Estate Roundabout Lekki Ajah Lagos, Ajah, Lagos, Nigeria Blackberry PIN 56960702",,https://nigeriapropertycentre.com/agents/1st-star-properties-nigeria-19329,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0005,+2349031586998,09031586998,Phone,360 DEGREE PROPERTIES LTD,"Abuja, Akwa Ibom, Anambra, Delta, Imo, Ondo, Rivers","Plot 36, Udeco Medical Road, Chevron, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/360-degree-properties-ltd-101848,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0006,+2348036349174,08036349174,Phone,Beckybest Realty,"Abia, Abuja, Akwa Ibom, Anambra, Delta, Edo, Enugu, Imo, Ondo, Rivers","Onitsha, Anambra, Nigeria",,https://nigeriapropertycentre.com/agents/beckybest-realty-51074,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0007,+2347068819946,07068819946,Phone + WhatsApp,A. I Realent Global Resources Ltd,"Abuja, Edo","Suite 502, Plot 111 &112 Shashilga Court, Ahmadu Bello Expressway, Jahi, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/a-i-realent-global-resources-ltd-194192,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0008,+2349153298863,09153298863,Phone,1st Star Properties Nigeria,"Abuja, Anambra, Imo, Rivers","Suite A3 474 Eastline Shopping Complex, Abraham Adesanya Estate Roundabout Lekki Ajah Lagos, Ajah, Lagos, Nigeria Blackberry PIN 56960702",,https://nigeriapropertycentre.com/agents/1st-star-properties-nigeria-19329,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0009,+2347041118876,07041118876,Phone,12 Pearls Ventures,"Abuja, Cross River","203 Igbosere Road, Lagos Island , Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/12-pearls-ventures-1829,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0010,+2349137785096,09137785096,Phone + WhatsApp,360 DEGREE PROPERTIES LTD,"Abuja, Akwa Ibom, Anambra, Delta, Imo, Ondo, Rivers","Plot 36, Udeco Medical Road, Chevron, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/360-degree-properties-ltd-101848,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0011,+2348056378528,08056378528,Phone + WhatsApp,12 Pearls Ventures,"Abuja, Cross River","203 Igbosere Road, Lagos Island , Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/12-pearls-ventures-1829,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0012,+2348035426255,08035426255,Phone,A.i.t. Real Estate Consult,"Abuja, Ekiti, Ondo","Lagos, Suite 4, Jonwo Plaza, Ilupeju Road, Ilupeju, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ait-real-estate-consult-60702,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0013,+2348085840767,08085840767,Phone + WhatsApp,A.i.t. Real Estate Consult,"Abuja, Ekiti, Ondo","Lagos, Suite 4, Jonwo Plaza, Ilupeju Road, Ilupeju, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ait-real-estate-consult-60702,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0014,+2348177766002,08177766002,Phone,Bluehedge Realtors,Kaduna,"Suite 205/232, Block H, Ikota Shopping Complex, Vgc, Lekki, Lagos, Nigeria Blackberry PIN D8A4AF7D",,https://nigeriapropertycentre.com/agents/bluehedge-realtors-91,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0015,+2347038981745,07038981745,Phone + WhatsApp,Adamz Property And Car Deal,Enugu,"Trans Ekulu, Enugu State, Nigeria",,https://nigeriapropertycentre.com/agents/adamz-property-and-car-deal-92307,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0016,+2348036436639,08036436639,Phone + WhatsApp,P-deka Homes& Properties,"Abia, Abuja, Anambra, Delta, Ebonyi, Enugu, Imo, Rivers","Zone 3 House 9 Oteyi Garden, Satellite Town, Lagos State, Nigerian",,https://nigeriapropertycentre.com/agents/p-deka-homes-properties-143639,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0017,+2347057125752,07057125752,Phone,360 Properties,"Delta, Imo","10 Oregun Road, Oregun, Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/360-properties-4412,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0018,+2347036868344,07036868344,Phone + WhatsApp,Africhomeland,Anambra,"Km 41along Onitsha - Enugu Expressway By Regina Ceali Junction Awka, Igbo, Anambra, Nigeria",,https://nigeriapropertycentre.com/agents/africhomeland-161961,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0019,+2348033648310,08033648310,Phone + WhatsApp,360 Properties,"Delta, Imo","10 Oregun Road, Oregun, Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/360-properties-4412,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0020,+2348181233883,08181233883,Phone + WhatsApp,Beckybest Realty,"Abia, Abuja, Akwa Ibom, Anambra, Delta, Edo, Enugu, Imo, Ondo, Rivers","Onitsha, Anambra, Nigeria",,https://nigeriapropertycentre.com/agents/beckybest-realty-51074,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0021,+2348157934667,08157934667,Phone,A. I Realent Global Resources Ltd,"Abuja, Edo","Suite 502, Plot 111 &112 Shashilga Court, Ahmadu Bello Expressway, Jahi, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/a-i-realent-global-resources-ltd-194192,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0022,+2348028800600,08028800600,Phone,Absaat Property Service Limited,"Abuja, Rivers","16, Ola Street, Mobil Bus Stop, Oke-ira, Ogba, Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/absaat-property-service-limited-27665,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0023,+2347052145590,07052145590,Phone,Anthrust Properties,"Abuja, Cross River, Rivers","Chief M I Okoro Avenue, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/anthrust-properties-103194,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0024,+2349077019583,09077019583,Phone + WhatsApp,Awodd Properties Ltd,"Abuja, Akwa Ibom, Rivers","Madam Cellular Street Off Ajiran Road 21 Agungi , Lekki, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/awodd-properties-ltd-218353,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0025,+2348039510381,08039510381,Phone + WhatsApp,24crystal Limited,Abuja,"10e Plaza, Plot 484, Utako District, Utako, Fct, Nigeria",,https://nigeriapropertycentre.com/agents/24crystal-limited-237321,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0026,+2348153039792,08153039792,Phone,A.i.t. Real Estate Consult,"Abuja, Ekiti, Ondo","Lagos, Suite 4, Jonwo Plaza, Ilupeju Road, Ilupeju, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ait-real-estate-consult-60702,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0027,+2349096697331,09096697331,Phone,A.i.t. Real Estate Consult,"Abuja, Ekiti, Ondo","Lagos, Suite 4, Jonwo Plaza, Ilupeju Road, Ilupeju, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/ait-real-estate-consult-60702,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0028,+2348177766112,08177766112,Phone,Bluehedge Realtors,"Kaduna, Rivers","Plot 77b, Woji Road, Gra Phase 2, Port Harcourt, Rivers State, Nigeria",,https://nigeriapropertycentre.com/agents/bluehedge-realtors-105982 | https://nigeriapropertycentre.com/agents/bluehedge-realtors-91,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0029,+2349025163725,09025163725,Phone,Adamz Property And Car Deal,Enugu,"Trans Ekulu, Enugu State, Nigeria",,https://nigeriapropertycentre.com/agents/adamz-property-and-car-deal-92307,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0030,+2348052536644,08052536644,Phone,Reg Integrated Services,"Abia, Abuja, Akwa Ibom, Anambra, Delta, Ebonyi, Edo, Enugu, Imo, Rivers","4 Ganiu Adeoye St. Off Sangotedo Road, Ogombo,, Ajah, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/reg-integrated-services-35313,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0031,+2349056552620,09056552620,Phone,Beckybest Realty,"Abia, Abuja, Akwa Ibom, Anambra, Delta, Edo, Enugu, Imo, Ondo, Rivers","Onitsha, Anambra, Nigeria",,https://nigeriapropertycentre.com/agents/beckybest-realty-51074,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0032,+2349070972401,09070972401,Phone,Africhomeland,Anambra,"Km 41along Onitsha - Enugu Expressway By Regina Ceali Junction Awka, Igbo, Anambra, Nigeria",,https://nigeriapropertycentre.com/agents/africhomeland-161961,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0033,+2348135402785,08135402785,Phone + WhatsApp,A S Property Center,Delta,"Sangotedo, Lekki Lagos Nigeria, Eti Osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/a-s-property-center-92943,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0034,+2347058651995,07058651995,Phone,Crown Property Global Consultant,"Abia, Abuja, Delta, Ondo","Lobisto Building, Olaogun Bus Stop, Old Ife Road, Ibadan, Old Ife Road, Ibadan, Oyo, Nigeria",,https://nigeriapropertycentre.com/agents/crown-property-global-consultant-131844,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0035,+2348168064058,08168064058,Phone + WhatsApp,Aloda Limited,"Delta, Edo","14 Muraino Olo Close, Cement Bus Stop, Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/aloda-limited-76479,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0036,+2348033692890,08033692890,Phone,Absaat Property Service Limited,"Abuja, Rivers","16, Ola Street, Mobil Bus Stop, Oke-ira, Ogba, Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/absaat-property-service-limited-27665,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0037,+2348034973331,08034973331,Phone + WhatsApp,Anthrust Properties,"Abuja, Cross River, Rivers","Chief M I Okoro Avenue, Lekki, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/anthrust-properties-103194,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0038,+2347025275238,07025275238,Phone + WhatsApp,Bi_properties_and_autos_enterprises,"Abuja, Akwa Ibom, Enugu, Rivers","29,grace Baptist Street Oke_afa Lagos, Nigerian, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/bi-properties-and-autos-enterprises-227425,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0039,+2348032267453,08032267453,Phone,360 Luxury Homes,Abuja,"Airport Road Lugbe Abuja, Lugbe, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/360-luxury-homes-227121,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0040,+2347054964767,07054964767,Phone + WhatsApp,Assethive Realty,"Abuja, Ondo, Rivers","Plot 4 & 5 Liberty Road, Ibadan, Oyo, Nigeria",,https://nigeriapropertycentre.com/agents/assethive-realty-98156,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0041,+2348036121962,08036121962,Phone,Adron Homes And Properties Limited,"Abuja, Ekiti","Opposite Passion Trust Plaza Before Karu Roundabout, Fct, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/adron-homes-and-properties-limited-149743,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0042,+2348177766115,08177766115,Phone + WhatsApp,Bluehedge Realtors,"Akwa Ibom, Cross River, Kaduna","No. 148, Oron Road, Oron Road, Uyo, Akwa Ibom State, Uyo, Akwa Ibom State, Nigeria",,https://nigeriapropertycentre.com/agents/bluehedge-realtors-188439 | https://nigeriapropertycentre.com/agents/bluehedge-realtors-91,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0043,+2348063647009,08063647009,Phone + WhatsApp,Arinze Onovo Consulting,"Abuja, Enugu","17 Libravelle Close Und St. Fct Central, Wuse Ii, Abuja, Nigeria Blackberry PIN 2BABA560",,https://nigeriapropertycentre.com/agents/arinze-onovo-consulting-14653,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0044,+2348066137925,08066137925,Phone + WhatsApp,Reg Integrated Services,"Abia, Abuja, Akwa Ibom, Anambra, Delta, Ebonyi, Edo, Enugu, Imo, Rivers","4 Ganiu Adeoye St. Off Sangotedo Road, Ogombo,, Ajah, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/reg-integrated-services-35313,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0045,+2347061327389,07061327389,Phone,Chidison Properties,"Abuja, Imo","Beside First Bank Kubwa Abuja, Kubwa, Abuja, Nigeria",,https://nigeriapropertycentre.com/agents/chidison-properties-20711,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0046,+2348039273884,08039273884,Phone,Alaigbo Property Development Company,Anambra,"Flat 4, Off Road 4, Okwuego Avenue, Udoka Housing Estate, Awka, Awka, Southeast, Nigeria",,https://nigeriapropertycentre.com/agents/alaigbo-property-development-company-96525,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0047,+2349050540697,09050540697,Phone,A S Property Center,Delta,"Sangotedo, Lekki Lagos Nigeria, Eti Osa, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/a-s-property-center-92943,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0048,+2348036574816,08036574816,Phone + WhatsApp,Crown Property Global Consultant,"Abia, Abuja, Delta, Ondo","Lobisto Building, Olaogun Bus Stop, Old Ife Road, Ibadan, Old Ife Road, Ibadan, Oyo, Nigeria",,https://nigeriapropertycentre.com/agents/crown-property-global-consultant-131844,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0049,+2349062511340,09062511340,Phone + WhatsApp,C W Real Estate | CW Real Estate,"Abuja, Edo, Rivers","No 1, Towry Close, Idejo Street, Off Adeola Odeku,, Victoria Island., Lagos., Nigeria",,https://nigeriapropertycentre.com/agents/c-w-real-estate-86702 | https://nigeriapropertycentre.com/agents/c-w-real-estate-95445 | https://nigeriapropertycentre.com/agents/cw-real-estate-95477,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
NPC-0050,+2348056461111,08056461111,Phone + WhatsApp,Absaat Property Service Limited,"Abuja, Rivers","16, Ola Street, Mobil Bus Stop, Oke-ira, Ogba, Ikeja, Lagos, Nigeria",,https://nigeriapropertycentre.com/agents/absaat-property-service-limited-27665,2026-06-23,Public business contact displayed on Nigeria Property Centre agent profile
